title,artist
Look At Wrist,Father
Our Love,Caribou
I Ain't Trippin off Nothin,Ezale
They Don't Know - Original Mix,Disciples
Sabali,Amadou & Mariam
Spooky,Dusty Springfield
Pick Up The Pieces,Average White Band
Have Love Will Travel,The Sonics
Capitol,TR/ST
Uncast Shadow Of A Southern Myth,Parquet Courts
I Shall Be Released - Remastered,Nina Simone
Words I Don't Remember,How To Dress Well
To The Top,Twin Shadow
Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat
Aquafina (feat. GoldLink & Chaz French),Falcons
Hot Blur,How Sad
Summer Madness,Kool & The Gang
The Payback,James Brown
I'm In Love,Fool's Gold
I Need You Tonight,Punkin Machine
Everybody Likes Something Good,Ify Jerry Crusade
Dadje Von O Von Non,Gnonnas Pédro
Sugah Daddy,D'Angelo
International Players Anthem,Swishahouse
Swerve,ILoveMakonnen
Look At Wrist,Father
Let It Happen,Tame Impala
My Way (feat. Monty),Fetty Wap
Walk,Kwabs
The Magnificent Seven - Remastered,The Clash
NOBO,Tijuana Panthers
The Gaudy Side of Town,Gayngs
U Mad,Vic Mensa
Slumlord,Neon Indian
Leave A Trace,CHVRCHES
Willing & Able,Disclosure
White Girl,Shy Glizzy
Maneuvering,ILoveMakonnen
Be My Baby,The Ronettes
Why Don't They Let Us Fall in Love,The Ronettes
Will You Love Me Tomorrow,The Shirelles
One Fine Day,The Chiffons
He's So Fine - 2000 Digital Remaster,The Chiffons
Then He Kissed Me,The Crystals
It's My Party,Lesley Gore
Please Mr. Postman,The Marvelettes
Fiesta - Remix,Bomba Estéreo
Queen's Speech 4,Lady Leshurr
I Know There's Gonna Be (Good Times),Jamie xx
With That (feat. Duke),Young Thug
Hotline Bling,Drake
679 (feat. Remy Boyz),Fetty Wap
Trap Queen,Fetty Wap
No Type,Rae Sremmurd
Chasing Heaven,Bassnectar
Speakerbox (feat. Lafa Taylor),Bassnectar
Movin' Bass - GTA Remix,Rick Ross
Danger and Dread,Brown Bird
Midnight City,M83
Water No Get Enemy - Edit,Fela Kuti
Pyramids,Frank Ocean
Hercules Theme,Hercules & Love Affair
Rewind,Kelela
My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.
Kush,Lil Wayne
9,Willow
Magnets,Disclosure
Don't Move,Phantogram
Pussy,Brazilian Girls
Black Mags,The Cool Kids
Stay Fly - Explicit Album Version,Three 6 Mafia
Sippin On Some Syrup,Three 6 Mafia
Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia
Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall
Gold and a Pager,The Cool Kids
Smell Yo D*ck,Riskay
Don't Wanna Lose,Ex Hex
Endless Rhythm,Baio
Demon,Shamir
Nothing Ever Happened,Deerhunter
Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels
River,Ibeyi
The Buzz (feat. Mataya & Young Tapz),Hermitude
All Day,Kanye West
Blood On the Money,Future
River,Leon Bridges
Trust Me Danny,ILoveMakonnen
Big Rings,Drake
Annie,Neon Indian
Acamar,Frankey
Alright,Kendrick Lamar
Know Yourself,Drake
Deicide,Crystal Castles
Coming Home,Leon Bridges
Hercules Theme 2014,Hercules & Love Affair
Forever,Majid Jordan
Next to You,Poolside
Papi Pacify,FKA twigs
Magnolia,Young & Sick
Dark Matter,Feathers
Callie (feat. Vic Mensa),Donnie Trumpet
Wu-Tang Forever,Drake
Fame (2007 Remastered),David Bowie
We Dem Boyz,Wiz Khalifa
Ego Free Sex Free,Autre Ne Veut
Her Fantasy,Matthew Dear
Little People (Black City),Matthew Dear
Confess To Me,Disclosure
Let Me Show You Love,Cut Copy
New Slaves,Kanye West
Sexy Socialite,Chromeo
Okay,Holy Ghost!
Weight,Mikal Cronin
When A Fire Starts To Burn,Disclosure
When A Fire Starts To Burn - Midland Remix,Disclosure
Fake Tales Of San Francisco,Arctic Monkeys
Billie Holiday,Warpaint
Goody Two Shoes,Duck Sauce
The Wire,HAIM
Awake,Tycho
Man I Need,Jagwar Ma
N.O. Bounce,Big Freedia
Now Is Not The Time,CHVRCHES
No Rest For The Wicked,Lykke Li
Holdin On,Flume
Rocking Chair,The Districts
Marriage,Gold Panda
Ride On / Right On,Phosphorescent
GodLovesUgly,Atmosphere
New York City,Christopher Owens
Moving to the Left,Woods
All These Things That I've Done,The Killers
Junk of the Heart (Happy),The Kooks
When The Night Falls - feat. Solange Knowles,Chromeo
Mercy,Kanye West
Don't You Evah,Spoon
We Exist,Arcade Fire
Le Goudron (Edit),YACHT
Double Bubble Trouble,M.I.A.
Careless,Dusky
Look at You,George McCrae
How Did I Get Here,ODESZA
Black Out Days,Phantogram
Bang! Bang!,Joe Cuba
Every 1's A Winner - Single Version,Hot Chocolate
Unbound,Cathedrals
Operate,ASTR
Blood On The Leaves,Kanye West
Come Save Me,Jagwar Ma
Hannah Montana,Migos
High School Lover,Cayucas
They Come in Gold,Shabazz Palaces
Tides of Neptune,Virgo
Cocaine Model,ZHU
Light House,Future Islands
Pass The Dutchie,Musical Youth
Words I Don't Remember,How To Dress Well
I Would Die 4 U,Prince
Bless My Soul,Nightmares On Wax
Heaven And Hell Is On Earth,20th Century Steel Band
Upper Echelon,Travis Scott
Flying High (Part 1),Cloud One
Go,Grimes
Spill The Wine,Eric Burdon
Got To Give It Up (Part 1),Marvin Gaye
Never Gonna Give You Up,Barry White
Sanctified,Rick Ross
It #1,Ty Segall
Dangerous (feat. Joywave),Big Data
Counting,Autre Ne Veut
You're the Best,Wet
Estrelar,Marcos Valle
Hold On We're Going Home,ASTR
Uncle ACE,Blood Orange
San Francisco,Foxygen
Stay High - Habits Remix,Tove Lo
Crosstown Traffic,Jimi Hendrix
Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle
Marijuana,Chrome Sparks
Crown Violet - Bonus Track,Azizi Gibson
Glad I Met You,D. Gookin
Dancing In The Rain,Blu
You Know I'm No Good - Ghostface UK Version,Amy Winehouse
Kill V. Maim,Grimes
Life Round Here,James Blake
Sitting Pretty (feat. Wiz Khalifa),Ty Dolla $ign
"Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV)",Dâm-Funk
Clouds Over the Pacific,James Pants
Distant Land,Madlib
Flashlight,Parliament
Can You Get To That,Funkadelic
Better,Banks
Pony,Pretty Sister
WTF (Where They From) [feat. Pharrell Williams],Missy Elliott
Again,Fetty Wap
Exchange,Bryson Tiller
Sugar for the Queen,Bells Atlas
Symphony of the Nymph,Ariel Pink's Haunted Graffiti
Cool It Now,New Edition
Jumpin' Jack Flash,Ananda Shankar
River,Ibeyi
You Know You Like It - Bondax Remix,AlunaGeorge
Batuque (Jeremy Sole & Atropolis Remix),Dom La Nena
Mykonos (feat. Fleet Foxes),Rhythms Del Mundo
So Destroyed (channeling Rage Peace),Prince Rama
Bitch,Allie X
Locket,Kilo Kish
Apathy,Shlohmo
It All Feels Right,Washed Out
Last Chance to Dance,Ekkah
The Righteous One,The Orwells
The New International Sound,GENER8ION
Like Lust,MOVEMENT
Rhythm of Devotion,Sisyphus
Zion Gate Dub,King Tubby
Enjoy The Silence - Remastered Version Original,Depeche Mode
Fried Neck Bones And Some Home Fries - Dan The Automator Remix,Willie Bobo
Archangel,Burial
"Lone Wolf and Cub (feat. Herbie Hancock, Flying Lotus, Miguel Atwood-Ferguson & Mono/poly)",Thundercat
Skyscraper,Elephant
I Want You - Single Version,Marvin Gaye
"The New International Sound, Pt. 2 (feat. M.I.A.)",GENER8ION
Suede (feat. Anderson Paak & Knxwledge),NxWorries
Bam Bam,Sister Nancy
Alright,Logic
Rainy Streets,Blue In Green
Hazelton Trump,OB OBrien
Free Stress Test,Professor Murder
I'm Ya Dogg,Snoop Dogg
Hot Dreams,Timber Timbre
The Hills,The Weeknd
"When They Fight, They Fight",Generationals
The River,Son Little
Rill Rill,Sleigh Bells
Awake,Santé
Johnny Was,Bob Marley & The Wailers
Monster Mash,"Bobby ""Boris"" Pickett"
Night on Bald Mountain,Modest Mussorgsky
Feel The Volume,Jauz
Water Me (feat. Leon Ware),Theophilus London
Kathy Lee,Jessy Lanza
Love Buzz,Shocking Blue
Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah
Auditorium,Mos Def
Disco Devil,"Lee ""Scratch"" Perry"
Frontier Psychiatrist,The Avalanches
Had Ten Dollaz,Cherry Glazerr
Sometimes,Heems
VHS Sex,Com Truise
Ambling Alp,Yeasayer
All Day And All Of The Night,The Kinks
Strychnine,The Sonics
Who Is He (And What Is He to You?),Bill Withers
Acamar,Frankey
It Looks Like Love,Goody Goody
Freak Connection - Edit,Cerrone
"I'll Be Good - 12"" Mix",Rene & Angela
Here I Come (Broader Than Broadway),Barrington Levy
Swords,M.I.A.
Hands On The Wheel,ScHoolboy Q
Kush High,Eighty4 Fly
Métele,Buscabulla
What I Might Do,Ben Pearce
Atomic Bomb,William Onyeabor
World Restart,Kindness
Swingin' Party,Kindness
Antidote,Travis Scott
Pieces,Tanlines
Zombie,Fela Kuti
Time-Out,Terror Train
Let's Lovedance Tonight - Danny Krivit Re-edit - Dk Re-Edit,Gary's Gang
I'm a Dildo,No Parents
Do It (High School Dropout),Tayyib Ali
Cadillac Girl,Only Real
Today,Tom Scott
"The Buzz (feat. Big K.R.I.T., Mataya & Young Tapz) - Bonus Track",Hermitude
I Choose You,Willie Hutch
The Way You’d Love Her,Mac Demarco
Shooting Stars,Bag Raiders
Bloom - Lane 8 Remix,ODESZA
Pacifier,Young Thug
Powerful,Major Lazer
Unbreakable,Janet Jackson
It's Strange (feat. K.Flay),Louis The Child
Make Them Gold,CHVRCHES
Don't Mean A Thing,Lapalux
White Lies - The Soundmen Remix,Max Frost
Sophia So Far,Goodnight Radio
Nimble Girl,Hotel Eden
Grinder,Gary Clark Jr.
Choices (Yup),E-40
Two Brothers,Hanni El Khatib
Walkabout (W/ Noah Lennox),Atlas Sound
Ferus Gallery,Allah-Las
Everybody Loves The Sunshine,Roy Ayers Ubiquity
Number One,Tuxedo
Sick Beat,Kero Kero Bonito
She a Go (feat. Spinn & Taso),DJ Rashad
Lost You,Zeds Dead
Norf Norf,Vince Staples
Eleven 11: / 11,Rob Curly
Buffalo,Toro y Moi
Talk About,Les Sins
Probably Nu It,Tree
Mamacita,Travis Scott
Star,Gary Clark Jr.
Gooey,Glass Animals
Walk On By - Single Version,Isaac Hayes
Omen - Radio Edit,Disclosure
Champagne Coast,Blood Orange
Running Back To You,The Juan Maclean
BKNY,Fat Tony
Pains,Silk Rhodes
Night Drive,Part Time
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan
Indian Food,Dumbo Gets Mad
Childs Play (feat. Chance the Rapper),SZA
Lets Start the Dance,Bohannon
Rollerskate,Matias Aguayo
Outro,M83
Grindin’ My Whole Life,HS87
Slyd,!!!
The Moment,Tame Impala
R.I.C.O. (feat. Drake),Meek Mill
Black And White,Parquet Courts
Never Never Gonna Give Ya Up,Barry White
Wait & See,Holy Ghost!
Wait for a Minute,tUnE-yArDs
5ft7,Tonstartssbandht
200 Press,James Blake
Huarache Lights,Hot Chip
Leave House,Caribou
"Sweet Power, Your Embrace",James Mason
Hunger Of The Pine,alt-J
Money Money,Horace Andy
Symptom - Original Mix,Deapmash
I'll Do a Little Bit More,The Olympics
Who Is He And What Is He To You,Creative Source
Bustin' Loose,Chuck Brown and the Soul Searchers
I Wish,Stevie Wonder
Baby,Donnie & Joe Emerson
More Bounce To The Ounce,Zapp
Outlaw,War
Walking Into Sunshine,Central Line
Pyramids,Frank Ocean
Lazuli,Beach House
Oblivion,Grimes
Obedear,Purity Ring
Flutes,Hot Chip
Club Rez,Girl Unit
Cry Like A Ghost,Passion Pit
Chained,The xx
Disparate Youth,Santigold
Cheap Beer,FIDLAR
Swimming Pools (Drank) - Extended Version,Kendrick Lamar
Origins,Tennis
Affection,Crystal Castles
Comeback Kid,Sleigh Bells
Losing You,Solange
Grown Up,Danny Brown
"It's Not My Fault, I'm Happy",Passion Pit
How Deep Is Your Love?,The Rapture
Are you... Can you... Were you? (Felt),Shabazz Palaces
Second Song,TV On The Radio
Mornin',Star Slinger
Before,Washed Out
Midnight City,M83
Lonely Boy,The Black Keys
Caffeinated Consciousness,TV On The Radio
Wild Window,Fool's Gold
Polish Girl,Neon Indian
Calgary,Bon Iver
Civilization,Justice
Headlines,Drake
Michael Jackson,Das Racist
Need You Now,Cut Copy
Abducted,Cults
Gucci Gucci,Kreayshawn
Eyes Be Closed,Washed Out
Echoes,Washed Out
The Daily Mail,Radiohead
Civilization,Justice
Punch Drunk Love,Teams vs. Star Slinger
Principles,Benoit & Sergio
Slow Peels,Com Truise
Dead Wrong,Hanni El Khatib
Do It Roger,Zapp
Pharaohs (feat. Roses Gabor),SBTRKT
No Fun,The Stooges
Computer Love,Zapp
Dutchie Courage,Star Slinger
Osaka Loop Line,Discovery
White Horse,Laid Back
Abataka - Original Mix,Ida Engberg
Danger! High Voltage (Soulchild Radio Mix),Electric Six
Say Please,Teams vs. Star Slinger
You Don't Love Me (No No No),Dawn Penn
The Yes Strut,Teams vs. Star Slinger
86 Carrot Gold,Teams vs. Star Slinger
Close to Me,Teams vs. Star Slinger
How Do You See Me Now,Zdar
See Me Now,Cassius
Every Freakin' - DJ Ayres remix,DJ Eleven
Dance Our Way,DJ Eleven
Flashing Lights,DJ Ayres
The Daily Mail,Radiohead
Bizness,tUnE-yArDs
Long Heels Red Bottoms,Trina
I Wanna Be Your Dog,The Stooges
Jealousy,Martin Solveig
Embody,Sebastian
Love In Motion - feat. Mayer Hawthorne,Sebastian
Save the World,Swedish House Mafia
Myth,Beach House
Ready 2 Go,Martin Solveig
We Are Young - The Popopopops Remix,Juveniles
Bop Gun (One Nation) - Radio Edit,Ice Cube
La Funky,Destructo feat. Oliver
In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay
On'n'On - Ruined by Rick Rubin,Justice
Don't Die,Killer Mike
Van Vogue,Azealia Banks
How Do You Do?,Hot Chip
Night And Day,Hot Chip
Don't Deny Your Heart,Hot Chip
Focused - feat. Kid Cudi,Wale
Neptune,Lemonade
"Function - feat. YG, IAmSu & Problem",E-40
Didn't You,Cloud Nothings
Search Party,Small Black
Mi Swing es Tropical,Nickodemus
Stock Exchange,Miss Kittin
Changes,Crazy P
Play This (Also),J Rocc
Obedear,Purity Ring
Slow Down,Poolside
I Don't Like,Chief Keef
Sleeping Ute,Grizzly Bear
Hands On the Wheel (feat. a$Ap Rocky),ScHoolboy Q
The Kids Were Wrong,Memoryhouse
Walk With Me,Memoryhouse
Her Fantasy,Matthew Dear
Der Kommissar,After The Fire
Slow Down,Clyde Carson
Genesis,Grimes
About to Die,Dirty Projectors
Best Night,The War On Drugs
Brothers,The War On Drugs
We Own The Sky,M83
Chicken Half,Sugarman Three
Two Of Hearts,Stacey Q
The Perfect Kiss,New Order
Can I Kick It?,A Tribe Called Quest
Sure Thing,Miguel
Kim & Jessie,M83
Outro,M83
We Are the People,Empire of the Sun
Look At Where We Are,Hot Chip
Don't Owe You a Thang,Gary Clark Jr.
Money Trees,Kendrick Lamar
Hood Pass Intact feat. MC Eiht,Dâm-Funk
Got No Money,FIDLAR
Birthday Song,2 Chainz
Oh,FIDLAR
No Waves,FIDLAR
Wake Bake Skate,FIDLAR
No Ass,FIDLAR
Black Out Stout,FIDLAR
Plague,Crystal Castles
Kerosene,Crystal Castles
Wrath Of God,Crystal Castles
Pale Flesh,Crystal Castles
Past Lives,DIIV
Pictures Of Matchstick Men,Status Quo
Get Up,Craig Bratley
Cloud Atlas End Title,Tom Tykwer
Keep You,Wild Belle
Anything New,Bibio
Adorn,Miguel
Louie Louie,Toots & The Maytals
Under Mi Sensi,Barrington Levy
Loner,Burial
Murderer,Barrington Levy
Space Cakes - Original,Tanner Ross
"There, There",Radiohead
Nightcall,Kavinsky
Jacket & Tie,Toyan
Doom And Gloom - Jeff Bhasker Mix,The Rolling Stones
All Of Me,Tanlines
Females Welcomed (feat. Reija Lee),Trinidad James
Blueberry (Pills & Cocaine) (feat. Danny Brown),Darq E Freaker
Max Can't Surf,FIDLAR
Wait for the Man,FIDLAR
Inspector Norse,Todd Terje
Love Sosa,Chief Keef
This Time Around,Softwar
See Blind Through,Canyons
Vowels = space and time,Grimes
Be A Body,Grimes
Unchained (The Payback / Untouchable),James Brown
Stomp - Dirty,5kinAndBone5
Borrowed Time,Parquet Courts
Young N*****,Gucci Mane
All Gold Everything,Trinidad James
What I Might Do - Club Mix,Ben Pearce
I Love It (feat. Charli XCX) - Original Version,Icona Pop
Kenosha,Swearin'
Fineshrine,Purity Ring
Flow,Disclosure
C'Est La Vie,Booba
Caramel,Booba
O.G,Booba
HLM 3,Lunatic
The Mighty Ming - Original Club Mix,Funkagenda
Harlem Shake,Baauer
Purp Walk,Lunice
Do You Like It? (Feat. Kool A.D),Chaz Van Queen
Gucci On The Rise,Gucci Mane
Hate Bein' Sober,Chief Keef
Traffic,Lil Reese
Hold Me Back,Rick Ross
Oldie,Odd Future
Started From the Bottom,Drake
Dum Dum,Baauer
Higher - Extended,Just Blaze and Baauer
"Gone, Gone",Juicy J
Rock Creek Park,The Blackbyrds
Leaving Babylon,Bad Brains
Trap Shit V7,UZ
Good Life - Original 12'' Mix,Inner City
Big Fun - Original 12'' Mix,Inner City
Piss Test (feat. Juicy J & Dany Brown),A-Trak
Can't Seem To Make You Mine,Sky Saxon & The Seeds
Borderline,Classixx
Elevate - Q45 Remix,Toni Toni Lee
With You (feat. Alexis Taylor),Carte Blanche (feat. Alexis Taylor)
Can't Shake This Feeling,Grum
Check Me Out Like,Blaqstarr
Second Summer,YACHT
Demon To Lean On,Wavves
Walk In The Park,Beach House
Reckless (With Your Love),Azari & III
Reckless (With Your Love) - Tensnake Remix,Azari & III
Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé],Wiley
(Bonus) Break Her Down,Iamsu!
Molly Ringwald,Danny Brown
8 Feet Tall,Problem
36 Chamber Flow,Flatbush Zombies
Trill Hoe,Western Tink
Saturday Love,Toro y Moi
Sweater Weather,The Neighbourhood
Oh My - Club Mix,The Partysquad
Saltkin,Purity Ring
Lofticries,Purity Ring
Get It In,Iamsu!
My Bad - Club Mix,The Partysquad
I'm Different,2 Chainz
Get Lucky - Radio Edit,Daft Punk
Had A Dream,EMP DASME
Recover,CHVRCHES
Now Is Not the Time,CHVRCHES
MDA,Problem
Pop That,French Montana
Young & Gettin' It - feat. Kirko Bangz,Meek Mill
Best Wishes,Iamsu!
Kids,Iamsu!
Levitate,Paper Diamond
Get Free (feat. Amber of Dirty Projectors),Major Lazer
Balance,Future Islands
The Lion - Original Mix,The Partysquad
For Your Love - Club Edit,The Partysquad
For Your Love - Olav Basoski Remix,The Partysquad
Slippin’,Quadron
Take You On,Peaches
One of Those Nights,Juicy J
Get Lucky - Daft Punk Remix,Daft Punk
No Way Back,Adonis
Ride The Rhythm,On The House featuring Marshall Jefferson
Move Your Body - Extended Mix,Benny Benassi
Rockin' In The Free World,Neil Young
Feels Like We Only Go Backwards,Tame Impala
Half Full Glass of Wine,Tame Impala
"Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic]",Major Lazer
Wop (Official Version),J. Dash
Don’t Drop That Thun Thun,Finatticz
Give It Away,Red Hot Chili Peppers
Wakin on a Pretty Day,Kurt Vile
Hulk (Dillon Francis Remix),Clockwork
Dill the Noise,Dillon Francis and Kill The Noise
Dead Sound,The Raveonettes
Rvtchet Bitch,Brillz & Teddy Tuxedo
Swing,Savage
You & Me - Baauer Remix,Disclosure
Next Order,Dog Blood
It's You,Duck Sauce
m.A.A.d city,Kendrick Lamar
Bounce It,Juicy J
Pu$$y Magnet (feat. Keayshawn),Roach Gigz
Fashion Killa,A$AP Rocky
I Wanna Be With You,DJ Khaled
Gas Pedal (feat. IamSu),Sage The Gemini
Red Nose,Sage The Gemini
"U.O.E.N.O. Remix (feat. Future, Wiz Khalifa)",Rocko
VERSACE,Flap Jack
Strictly 4 My Jeeps,Action Bronson
The Giver - Original Mix,Duke Dumont
Lean & Bounce,Duke Dumont
Swishas and Dosha - Main Version - Clean,UGK
Players Anthem,UGK
"Hold On, We're Going Home",Drake
Living,2 Chainz
Taylor Gang - Bonus Track,Wiz Khalifa
I'm A Martian,Brian Pumper
The Drop,Bro Safari
Drippin,MiM0SA
Heaven,TR/ST
I Need You,Glass Figure
From Nowhere,Dan Croll
I Follow Rivers,Lykke Li
L'Amour Parfait,Yelle
Northern Lights,Kate Boy
Shabba,A$AP Ferg
Work,A$AP Ferg
Work REMIX,A$AP Ferg
The Way We Are,Kate Boy
"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko
Now You Do,A-1
Holding On - Jerome LOL Remix,Classixx
Music Is the Answer - Original Extended 12-Inch Mix,Celeda
Test Me - UZ Remix,Flosstradamus & DJ Sliink
Test Me,Flosstradamus & DJ Sliink
No New Friends - SFTB Remix,DJ Khaled
R.I.P.,Jeezy
Baby Blue,Badfinger
Dip,Danny Brown
25 Bucks [feat. Purity Ring],Danny Brown
Fascism,Sam Sparro
Marc Jacobs,Riff Raff
One Of Us - Original Mix,Iron Galaxy & Sexlife
Can We Go Up?,Paper Diamond
This Lonely Morning,Best Coast
Time Has Come Today,The Chambers Brothers
Sad Eyes,Crystal Castles
Wearing My Rolex - Radio Edit,Wiley
Need U (100%) [feat. A*M*E] [Radio Edit],Duke Dumont
Stoned and Starving,Parquet Courts
Reflektor,Arcade Fire
Jack,Breach
Tennis Court,Lorde
Primetime (feat. Miguel),Janelle Monáe
"Hold On, We're Going Home",Drake
Hannah Hunt,Vampire Weekend
Latch,Disclosure
Play by Play,Autre Ne Veut
I Blame Myself,Sky Ferreira
Sunday,Earl Sweatshirt
Step,Vampire Weekend
You're Not Good Enough,Blood Orange
Strandbar (disko),Todd Terje
Open,Rhye
Falling,HAIM
White Noise,Disclosure
Bumpy Road,Destruction Unit
Shabba,A$AP Ferg
Work REMIX,A$AP Ferg
Dope,Tyga
Here Comes The Night Time II,Arcade Fire
Warm In The Winter,Glass Candy
Don't Let It Get to Your Head,Black Harmony
We Fall Down,ASTR
R U With Me,ASTR
Blue Hawaii,ASTR
Razor,ASTR
Stay,Rihanna
The Sound Of San Francisco - Progressive Album Mix,Global Deejays
Sunshine Of Your Love,Cream
Somebody to Love,Jefferson Airplane
San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version,Scott McKenzie
White Rabbit,Jefferson Airplane
Pleasure Power (DJ Smash Disco Remix),Afrolicious
Bound 2,Kanye West
Drunk in Love,Beyoncé
Viol - Original Mix,Gesaffelstein
Good Mistake,Mr Little Jeans
Runaway,Mr Little Jeans
Fall In Love,Phantogram
You’re Not The One,Sky Ferreira
Sacrilege,Yeah Yeah Yeahs
Collard Greens,ScHoolboy Q
Hell Of A Night,ScHoolboy Q
1977,Ana Tijoux
Latino & Proud,DJ Raff
Move That Dope,Future
Slasherr,Rustie
Outlines,AlunaGeorge
Platoon,Jungle
Man Of The Year,ScHoolboy Q
Spacer Woman - Vocal,Charlie
Nobody Else - Original Mix,Dusky
Stoner,Young Thug
Elevate,St. Lucia
Independent - House Remix,Hoodfellas
Au Seve,Julio Bashmore
Synchronize,Discodeine
Don't Miss,The Alexanders
Coucou disco,Dim Sum
Vowel Play - Original,Them Jeans
The Devil Is A Lie,Rick Ross
North North,Project Pat
Temporary View,SBTRKT
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino
Accelerate,Jungle
0 To 100 / The Catch Up,Drake
Hot N*gga,Bobby Shmurda
You'll Never Walk Alone - 2002 Remastered Version,Gerry & The Pacemakers
Your Soul,Hippie Sabotage
dance yrself clean - live at madison square garden,LCD Soundsystem
Running Up That Hill (A Deal With God),Kate Bush
High Ball Stepper,Jack White
The Great Gig In The Sky - 2011 Remastered Version,Pink Floyd
All We Need (feat. Shy Girls),ODESZA
Catamaran,Allah-Las
Fool,Perfume Genius
Bulbform,TR/ST
Passing Out Pieces,Mac Demarco
Tuesday,ILoveMakonnen
Drop Dead Baby,Ty Segall
My Sunshine,Ty Segall
BIG Fun - Full Intention 88 Remix,Inner City
Natty Dread A Weh She Want,Horace Andy
DLZ,TV On The Radio
Whatcha Gonna Do,Koopsta Knicca
18 With A Bullet,Pete Wingfield
The Boss,James Brown
Drifting In And Out,Porcelain Raft
Made Me,Snootie Wild
Way to be Loved,TOPS
Just Wanna Love You Girl,Epsilons
Be Brave,The Strange Boys
Tupelo (Pt. 1) - Single Version,Albert King
Candyman,Cornershop
Somebody Was Watching,Pops Staples
Tupelo - Part 1,Pop Staples
Tupelo,Steve Cropper
"Damn Son, Where'd You Find This? - Future of TRAP Mix",Trendsetter
I'm in LOVE With GO-GO Dancer (Disco Diva) - Future of TRAP Mix,Trendsetter
Damn Son Where'd You Find This? (feat. Kelly Holiday) - Markus Maximus Remix,Markus Maximus
Work - The Advent & Spiriakos Remix,ZZT
Mannish Boy,Muddy Waters
Holding On,Disclosure
"Mozart: Requiem in D Minor, K. 626: VIII. Lacrimosa",Nikolaus Harnoncourt
My Main,Mykfresh
Southern Man - Live,"Crosby, Stills, Nash & Young"
Won't Look Back,Duke Dumont
Chrome Knight - Feat. Chromeo,Surkin
Black Boy,Pops Staples
Give Me The Sunshine,Leo's Sunshipp
Motherless Child,Romare
Giudecca,Ghost Culture
Living Every Dream,Antwon
Easy Rider,Action Bronson
Nissim,The Gaslamp Killer
Topless,Orlando Julius
Breakthrough,The Funkees
